title,parent_celex,oj_num,doc_type,celex_num,url
Interinstitutional Agreement of 20 December 1994 Accelerated working method for official codification of legislative texts,32016Q0512(01),"C 102/2, 4.4.1996",C,31996Y0404(02),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.1996.102.01.0002.01.ENG&toc=OJ:C:1996:102:TOC
Interinstitutional Agreement of 22 December 1998 on common guidelines for the quality of drafting of Community legislation,32016Q0512(01),"C 73/1, 17.3.1999",C,31999Y0317(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.1999.073.01.0001.01.ENG&toc=OJ:C:1999:073:TOC
Interinstitutional Agreement of 28 November 2001 on a more structured use of the recasting technique for legal acts,32016Q0512(01),"OJ C 77, 28.3.2002, p. 1-3",C,32002Q0328,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2002.077.01.0001.01.ENG&toc=OJ:C:2002:077:TOC
Joint declaration on practical arrangements for the codecision procedure (article 251 of the EC Treaty),32016Q0512(01),"C 145/5, 30.6.2007",C,32007C0630(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2007.145.01.0005.01.ENG&toc=OJ:C:2007:145:TOC
"Joint Political Declaration of 27 October 2011 of the European Parliament, the Council and the Commission on explanatory documents",32016Q0512(01),"C 369/15, 17.12.2011",C,52011XG1217(02),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2011.369.01.0015.01.ENG&toc=OJ:C:2011:369:TOC
Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission's exercise of implementing powers,32016Q0512(01),"OJ L 55, 28.2.2011, p. 13-18",L,32011R0182,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2011.055.01.0013.01.ENG&toc=OJ:L:2011:055:TOC
Joint Political Declaration of 28 September 2011 of Member States and the Commission on explanatory documents,32016Q0512(01),"C 369/14, 17.12.2011",C,52011XG1217(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2011.369.01.0014.01.ENG&toc=OJ:C:2011:369:TOC
Interinstitutional agreement on better law-making,32016Q0512(01),"OJ C 321, 31.12.2003, p. 1-5",C,32003Q1231(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2003.321.01.0001.01.ENG&toc=OJ:C:2003:321:TOC
"Regulation (EU) No 1093/2010 of the European Parliament and of the Council of 24 November 2010 establishing a European Supervisory Authority (European Banking Authority), amending Decision No 716/2009/EC and repealing Commission Decision 2009/78/EC",32016Q0512(01),"OJ L 331, 15.12.2010, p. 12-47",L,32010R1093,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2010.331.01.0012.01.ENG&toc=OJ:L:2010:331:TOC
"Regulation (EU) No 1094/2010 of the European Parliament and of the Council of 24 November 2010 establishing a European Supervisory Authority (European Insurance and Occupational Pensions Authority), amending Decision No 716/2009/EC and repealing Commission Decision 2009/79/EC",32016Q0512(01),"OJ L 331, 15.12.2010, p. 48-83",L,32010R1094,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2010.331.01.0048.01.ENG&toc=OJ:L:2010:331:TOC
"Regulation (EU) No 1095/2010 of the European Parliament and of the Council of 24 November 2010 establishing a European Supervisory Authority (European Securities and Markets Authority), amending Decision No 716/2009/EC and repealing Commission Decision 2009/77/EC",32016Q0512(01),"OJ L 331, 15.12.2010, p. 84-119",L,32010R1095,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2010.331.01.0084.01.ENG&toc=OJ:L:2010:331:TOC
