title,parent_celex,oj_num,doc_type,celex_num,url
Regulation (EU) 2019/1020 of the European Parliament and of the Council of 20 June 2019 on market surveillance and compliance of products and amending Directive 2004/42/EC and Regulations (EC) No 765/2008 and (EU) No 305/2011 (Text with EEA relevance.),52022XC0629(04),"OJ L 169, 25.6.2019, p. 1-44",L,32019R1020,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.169.01.0001.01.ENG&toc=OJ:L:2019:169:TOC
Regulation (EC) No 765/2008 of the European Parliament and of the Council of 9 July 2008 setting out the requirements for accreditation and market surveillance relating to the marketing of products and repealing Regulation (EEC) No 339/93 (Text with EEA relevance),52022XC0629(04),"OJ L 218, 13.8.2008, p. 30-47",L,32008R0765,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0030.01.ENG&toc=OJ:L:2008:218:TOC
"Decision No 768/2008/EC of the European Parliament and of the Council of 9 July 2008 on a common framework for the marketing of products, and repealing Council Decision 93/465/EEC (Text with EEA relevance)",52022XC0629(04),"OJ L 218, 13.8.2008, p. 82-128",L,32008D0768,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0082.01.ENG&toc=OJ:L:2008:218:TOC
Regulation (EU) 2019/515 of the European Parliament and of the Council of 19 March 2019 on the mutual recognition of goods lawfully marketed in another Member State and repealing Regulation (EC) No 764/2008 (Text with EEA relevance.),52022XC0629(04),"OJ L 91, 29.3.2019, p. 1-18",L,32019R0515,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.091.01.0001.01.ENG&toc=OJ:L:2019:091:TOC
Regulation (EC) No 764/2008 of the European Parliament and of the Council of 9 July 2008 laying down procedures relating to the application of certain national technical rules to products lawfully marketed in another Member State and repealing Decision No 3052/95/EC (Text with EEA relevance),52022XC0629(04),"OJ L 218, 13.8.2008, p. 21-29",L,32008R0764,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0021.01.ENG&toc=OJ:L:2008:218:TOC
Council Resolution of 7 May 1985 on a new approach to technical harmonization and standards,52022XC0629(04),"OJ C 136, 4.6.1985, p. 1-9",C,31985Y0604(01),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.1985.136.01.0001.01.ENG&toc=OJ:C:1985:136:TOC
"93/465/EEC: Council Decision of 22 July 1993 concerning the modules for the various phases of the conformity assessment procedures and the rules for the affixing and use of the CE conformity marking, which are intended to be used in the technical harmonization directives",52022XC0629(04),"OJ L 220, 30.8.1993, p. 23-39",L,31993D0465,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.220.01.0023.01.ENG&toc=OJ:L:1993:220:TOC
"Decision No 768/2008/EC of the European Parliament and of the Council of 9 July 2008 on a common framework for the marketing of products, and repealing Council Decision 93/465/EEC (Text with EEA relevance)",52022XC0629(04),"OJ L 218, 13.8.2008, p. 82-128",L,32008D0768,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2008.218.01.0082.01.ENG&toc=OJ:L:2008:218:TOC
"Council Resolution of 10 November 2003 on the Communication of the European Commission ""Enhancing the Implementation of the New Approach Directives""",52022XC0629(04),"OJ C 282, 25.11.2003, p. 3-4",C,32003G1125(02),https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2003.282.01.0003.01.ENG&toc=OJ:C:2003:282:TOC
Directive 2001/95/EC of the European Parliament and of the Council of 3 December 2001 on general product safety (Text with EEA relevance),52022XC0629(04),"OJ L 11, 15.1.2002, p. 4-17",L,32001L0095,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.011.01.0004.01.ENG&toc=OJ:L:2002:011:TOC
"Council Directive 85/374/EEC of 25 July 1985 on the approximation of the laws, regulations and administrative provisions of the Member States concerning liability for defective products",52022XC0629(04),"OJ L 210, 7.8.1985, p. 29-33",L,31985L0374,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1985.210.01.0029.01.ENG&toc=OJ:L:1985:210:TOC
Commission Implementing Decision (EU) 2019/417 of 8 November 2018 laying down guidelines for the management of the European Union Rapid Information System 'RAPEX' established under Article 12 of Directive 2001/95/EC on general product safety and its notification system (notified under document C(2018) 7334),52022XC0629(04),"OJ L 73, 15.3.2019, p. 121-187",L,32019D0417,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.073.01.0121.01.ENG&toc=OJ:L:2019:073:TOC
Directive 97/67/EC of the European Parliament and of the Council of 15 December 1997 on common rules for the development of the internal market of Community postal services and the improvement of quality of service,52022XC0629(04),"OJ L 15, 21.1.1998, p. 14-25",L,31997L0067,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1998.015.01.0014.01.ENG&toc=OJ:L:1998:015:TOC
Regulation (EU) 2018/644 of the European Parliament and of the Council of 18 April 2018 on cross-border parcel delivery services (Text with EEA relevance. ),52022XC0629(04),"OJ L 112, 2.5.2018, p. 19-28",L,32018R0644,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2018.112.01.0019.01.ENG&toc=OJ:L:2018:112:TOC
