title,parent_celex,oj_num,doc_type,celex_num,url
Opinion of the European Economic and Social Committee on 'Proposal for a Regulation of the European Parliament and of the Council on a Single Market For Digital Services (Digital Services Act) and amending Directive 2000/31/EC',32022R2065,"OJ C 286, 16.7.2021, p. 70-75",C,52021AE0022,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2021.286.01.0070.01.ENG&toc=OJ:C:2021:286:TOC
Opinion of the European Committee of the Regions on the Digital Services Act and the Digital Markets Act,32022R2065,"OJ C 440, 29.10.2021, p. 67-98",C,52020AR5356,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2021.440.01.0067.01.ENG&toc=OJ:C:2021:440:TOC
"Directive 2000/31/EC of the European Parliament and of the Council of 8 June 2000 on certain legal aspects of information society services, in particular electronic commerce, in the Internal Market ('Directive on electronic commerce')",32022R2065,"OJ L 178, 17.7.2000, p. 1-16",L,32000L0031,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2000.178.01.0001.01.ENG&toc=OJ:L:2000:178:TOC
DIRECTIVE (EU) 2015/1535 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 241, 17.9.2015, p. 1-15",L,32015L1535,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2015.241.01.0001.01.ENG&toc=OJ:L:2015:241:TOC
REGULATION (EU) No 1215/2012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 351, 20.12.2012, p. 1-32",L,32012R1215,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2012.351.01.0001.01.ENG&toc=OJ:L:2012:351:TOC
DIRECTIVE 2010/13/EU OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 95, 15.4.2010, p. 1-24",L,32010L0013,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2010.095.01.0001.01.ENG&toc=OJ:L:2010:095:TOC
REGULATION (EU) 2019/1148 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 186, 11.7.2019, p. 1-20",L,32019R1148,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.186.01.0001.01.ENG&toc=OJ:L:2019:186:TOC
REGULATION (EU) 2019/1150 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 186, 11.7.2019, p. 57-79",L,32019R1150,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.186.01.0057.01.ENG&toc=OJ:L:2019:186:TOC
REGULATION (EU) 2021/784 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 172, 17.5.2021, p. 79-109",L,32021R0784,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2021.172.01.0079.01.ENG&toc=OJ:L:2021:172:TOC
REGULATION (EU) 2021/1232 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 274, 30.7.2021, p. 41-51",L,32021R1232,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2021.274.01.0041.01.ENG&toc=OJ:L:2021:274:TOC
Directive 2002/58/EC of the European Parliament and of the Council of 12 July 2002 concerning the processing of personal data and the protection of privacy in the electronic communications sector (Directive on privacy and electronic communications),32022R2065,"OJ L 201, 31.7.2002, p. 37-47",L,32002L0058,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.201.01.0037.01.ENG&toc=OJ:L:2002:201:TOC
REGULATION (EU) 2017/2394 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 345, 27.12.2017, p. 1-26",L,32017R2394,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2017.345.01.0001.01.ENG&toc=OJ:L:2017:345:TOC
REGULATION (EU) 2019/1020 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 169, 25.6.2019, p. 1-44",L,32019R1020,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2019.169.01.0001.01.ENG&toc=OJ:L:2019:169:TOC
Directive 2001/95/EC of the European Parliament and of the Council of 3 December 2001 on general product safety (Text with EEA relevance),32022R2065,"OJ L 11, 15.1.2002, p. 4-17",L,32001L0095,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2002.011.01.0004.01.ENG&toc=OJ:L:2002:011:TOC
DIRECTIVE 2005/29/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 149, 11.6.2005, p. 22-39",L,32005L0029,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2005.149.01.0022.01.ENG&toc=OJ:L:2005:149:TOC
DIRECTIVE 2011/83/EU OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 304, 22.11.2011, p. 64-88",L,32011L0083,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2011.304.01.0064.01.ENG&toc=OJ:L:2011:304:TOC
DIRECTIVE 2013/11/EU OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 165, 18.6.2013, p. 63-79",L,32013L0011,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2013.165.01.0063.01.ENG&toc=OJ:L:2013:165:TOC
Council Directive 93/13/EEC of 5 April 1993 on unfair terms in consumer contracts,32022R2065,"L 95/29, 21.4.1993",L,31993L0013,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.1993.095.01.0029.01.ENG&toc=OJ:L:1993:095:TOC
REGULATION (EU) 2016/679 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL,32022R2065,"OJ L 119, 4.5.2016, p. 1-88",L,32016R0679,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.L_.2016.119.01.0001.01.ENG&toc=OJ:L:2016:119:TOC
